,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,landpad,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,mass_lbs,orbit,landpad_name,landpad_type,landpad_latitude,landpad_longitude,landing_attempts,landing_successes
0,Falcon 9,True,6,2010-06-04T18:45:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B0003,Dragon Boilerplate,,,LEO,,,,,,
1,Falcon 9,True,8,2012-05-22T07:44:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B0005,Dragon 1.0,525.0,1157.0,LEO,,,,,,
2,Falcon 9,True,10,2013-03-01T19:10:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B0007,Dragon 1.0,677.0,1492.0,ISS,,,,,,
3,Falcon 9,True,12,2013-12-03T22:41:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1004,Satellite,3170.0,6990.0,GTO,,,,,,
4,Falcon 9,True,13,2014-01-06T18:06:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1005,Satellite,3325.0,7330.0,GTO,,,,,,
5,Falcon 9,True,14,2014-04-18T19:25:00.000Z,1,False,True,False,True,True,Ocean,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1006,Dragon 1.1,2296.0,5062.0,ISS,,,,,,
6,Falcon 9,True,15,2014-07-14T15:15:00.000Z,1,False,True,False,True,True,Ocean,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1007,Satellite,1316.0,2901.0,LEO,,,,,,
7,Falcon 9,True,16,2014-08-05T08:00:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1008,Satellite,4535.0,9998.0,GTO,,,,,,
8,Falcon 9,True,17,2014-09-07T05:00:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1011,Satellite,4428.0,9762.0,GTO,,,,,,
9,Falcon 9,True,18,2014-09-21T05:52:00.000Z,1,False,False,False,True,False,Ocean,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1010,Dragon 1.1,2216.0,4885.0,ISS,,,,,,
10,Falcon 9,True,19,2015-01-10T09:47:00.000Z,1,True,True,False,True,False,ASDS,5e9e3032383ecb761634e7cb,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1012,Dragon 1.1,2395.0,5280.0,ISS,JRTI-1,ASDS,28.4104,-80.6188,2.0,0.0
11,Falcon 9,True,20,2015-02-11T23:03:00.000Z,1,True,True,False,True,True,Ocean,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1013,Satellite,570.0,1260.0,ES-L1,,,,,,
12,Falcon 9,True,22,2015-04-14T20:10:00.000Z,1,True,True,False,True,False,ASDS,5e9e3032383ecb761634e7cb,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1015,Dragon 1.1,1898.0,4184.0,ISS,JRTI-1,ASDS,28.4104,-80.6188,2.0,0.0
13,Falcon 9,True,23,2015-04-27T23:03:00.000Z,1,False,False,False,False,,,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1016,Satellite,4707.0,10377.0,GTO,,,,,,
14,Falcon 9,False,24,2015-06-28T14:21:00.000Z,1,True,True,False,True,,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1018,Dragon 1.1,2477.0,5460.9,ISS,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
15,Falcon 9,True,25,2015-12-22T01:29:00.000Z,1,True,True,False,True,True,RTLS,5e9e3032383ecb267a34e7c7,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,1,1,0,0,B1019,Satellite,2034.0,4484.0,LEO,LZ-1,RTLS,28.485833,-80.544444,21.0,20.0
16,Falcon 9,True,27,2016-03-04T23:35:00.000Z,1,True,True,False,True,False,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1020,Satellite,5271.0,11621.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
17,Falcon 9,True,28,2016-04-08T20:43:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,1,0,0,2,2,B1021,Dragon 1.1,3136.0,6914.0,ISS,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
18,Falcon 9,True,38,2017-03-30T22:27:00.000Z,2,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,2.0,1,0,0,2,2,B1021,Satellite,5300.0,11700.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
19,Falcon 9,True,29,2016-05-06T05:21:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,0,0,0,1,1,B1022,Satellite,4696.0,10353.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
20,Falcon 9,True,30,2016-05-27T21:39:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,1,1,1,1,1,B1023,Satellite,3100.0,6800.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
21,Falcon 9,True,32,2016-07-18T04:45:00.000Z,1,True,True,False,True,True,RTLS,5e9e3032383ecb267a34e7c7,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,1,2,2,0,0,B1025,Dragon 1.1,2257.0,4976.0,ISS,LZ-1,RTLS,28.485833,-80.544444,21.0,20.0
22,Falcon 9,True,33,2016-08-14T05:26:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,0,0,0,1,1,B1026,Satellite,4600.0,10100.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
23,Falcon 9,False,34,2016-09-01T13:07:00.000Z,1,True,True,False,True,,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,3.0,0,0,0,0,0,B1028,Satellite,5500.0,12100.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
24,Falcon 9,True,51,2017-12-15T15:36:00.000Z,2,True,True,True,True,True,RTLS,5e9e3032383ecb267a34e7c7,CCSFS SLC 40,28.5618571,-80.577366,98,96,3.0,1,2,2,0,0,B1035,Dragon 1.1,2205.0,4861.2,ISS,LZ-1,RTLS,28.485833,-80.544444,21.0,20.0
